TaxonName,X1_1_ActivityCycle,X5_1_AdultBodyMass_g,X8_1_AdultForearmLen_mm,X13_1_AdultHeadBodyLen_mm,X2_1_AgeatEyeOpening_d,X3_1_AgeatFirstBirth_d,X18_1_BasalMetRate_mLO2hr,X5_2_BasalMetRateMass_g,X6_1_DietBreadth,X7_1_DispersalAge_d,X9_1_GestationLen_d,X12_1_HabitatBreadth,X22_1_HomeRange_km2,X22_2_HomeRange_Indiv_km2,X14_1_InterbirthInterval_d,X15_1_LitterSize,X16_1_LittersPerYear,X17_1_MaxLongevity_m,X5_3_NeonateBodyMass_g,X13_2_NeonateHeadBodyLen_mm,X10_1_PopulationGrpSize,X23_1_SexualMaturityAge_d,X10_2_SocialGrpSize,X24_1_TeatNumber,X12_2_Terrestriality,X6_2_TrophicLevel,X25_1_WeaningAge_d,X5_4_WeaningBodyMass_g,X13_3_WeaningHeadBodyLen_mm,XHYP_JTE
Spermophilus columbianus,3,6.154730697,NA,5.690258098,3.032546247,NA,NA,NA,4,NA,3.181796817,2,NA,NA,NA,1.264126727,0,NA,2.259677592,NA,NA,2.53755918,NA,NA,1,1,3.181073171,4.687395126,NA,NA
Spermophilus elegans,3,5.782131441,NA,NA,3.17805383,NA,NA,NA,1,NA,3.134189017,2,NA,NA,NA,1.749199855,NA,NA,1.786746927,NA,NA,NA,0,2.302585093,1,1,3.214001151,4.382026635,NA,NA
Spermophilus franklinii,NA,6.126082849,NA,5.503744912,2.995732274,NA,NA,NA,NA,NA,3.33220451,NA,NA,NA,NA,2.162172939,0,NA,2.196112848,NA,NA,2.40804872,NA,NA,NA,NA,3.076196463,NA,NA,NA
Spermophilus lateralis,NA,5.165357239,NA,5.367750141,3.295836866,NA,5.321398926,5.412984442,4,NA,3.347093123,NA,NA,NA,NA,1.644805056,0,NA,1.806648082,NA,NA,2.458133242,NA,2.302585093,NA,2,3.475750748,4.446877607,NA,NA
Spermophilus madrensis,NA,5.333298335,NA,5.144466642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.467874348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spermophilus mexicanus,NA,5.178914269,NA,5.264760583,NA,NA,NA,NA,5,NA,NA,2,NA,NA,NA,1.776645831,NA,NA,1.460937904,3.96271612,NA,NA,0,1.386294361,1,2,NA,NA,NA,NA
Spermophilus mohavensis,3,5.362136879,NA,5.053247685,3.417726684,NA,4.725616339,5.480638923,2,NA,3.190887788,2,NA,NA,NA,1.871802177,NA,NA,1.504077397,NA,NA,NA,0,NA,1,1,3.168506164,NA,NA,NA
Spermophilus mollis,NA,5.108366783,NA,NA,3.020424886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.075684493,NA,NA,1.350667183,NA,NA,NA,NA,NA,NA,NA,3.44231996,NA,NA,NA
Spermophilus parryii,NA,6.61618566,NA,5.630925002,NA,NA,NA,NA,NA,NA,3.225255432,NA,NA,NA,NA,1.871802177,0,NA,2.397895273,NA,NA,2.458133242,NA,NA,NA,NA,3.036588972,NA,NA,NA
Spermophilus perotensis,NA,4.941642423,NA,5.187385806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.803358605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
