GlobalID,Longitude,Latitude,X1_1_ActivityCycle,X5_1_AdultBodyMass_g,X8_1_AdultForearmLen_mm,X13_1_AdultHeadBodyLen_mm,X2_1_AgeatEyeOpening_d,X3_1_AgeatFirstBirth_d,X18_1_BasalMetRate_mLO2hr,X5_2_BasalMetRateMass_g,X6_1_DietBreadth,X7_1_DispersalAge_d,X9_1_GestationLen_d,X12_1_HabitatBreadth,X22_1_HomeRange_km2,X22_2_HomeRange_Indiv_km2,X14_1_InterbirthInterval_d,X15_1_LitterSize,X16_1_LittersPerYear,X17_1_MaxLongevity_m,X5_3_NeonateBodyMass_g,X13_2_NeonateHeadBodyLen_mm,X10_1_PopulationGrpSize,X23_1_SexualMaturityAge_d,X10_2_SocialGrpSize,X24_1_TeatNumber,X12_2_Terrestriality,X6_2_TrophicLevel,X25_1_WeaningAge_d,X5_4_WeaningBodyMass_g,X13_3_WeaningHeadBodyLen_mm,XHYP_JTE
130562,-62.0439,46.43173,1.6,6.334828974,NA,5.925384617,1.935007992,5.237496727,5.864931624,5.608672575,2.285714286,5.657998878,3.712432346,1.333333333,1.929868609,1.93249365,13.60018835,1.388511175,1.137873301,4.431279321,3.257508731,4.062795228,1.696535106,2.282523585,NA,2.057928701,1.333333333,2.285714286,3.349816263,4.940785468,5.703782475,1
130564,-60.7405,46.43173,1.714285714,6.414465964,NA,5.866069609,2.40061727,5.573821466,5.647736758,5.353146807,2.2,5.657998878,3.66960512,1.4,1.85748773,1.879034294,15.17298402,1.226576082,1.106305203,4.6131765,3.301385705,4.062795228,1.696535106,2.352132008,NA,1.716733321,1.2,2.3,3.582234062,4.470494635,NA,1
131021,-123.7646,45.98257,1.827586207,6.244748785,NA,5.666494282,2.563798292,6.07798615,6.379051409,6.795064487,3.055555556,5.414406057,3.796449684,1.71875,1.415977538,1.449738175,15.33947196,1.312207708,0.568651585,4.734849061,3.212983067,3.590154656,0.36945125,2.375541709,0.955523714,1.939523562,1.3125,1.916666667,3.615005933,5.549064221,5.219052244,1.333333333
131022,-123.1182,45.98257,1.827586207,6.202795551,NA,5.648141407,2.595466286,6.07798615,6.298722977,6.682374795,3.054054054,5.414406057,3.771390545,1.727272727,1.415977538,1.449738175,15.51878154,1.319473403,0.544957769,4.70169954,3.146351434,3.590154656,0.36945125,2.374101278,0.83608325,1.960358639,1.303030303,1.891891892,3.601986953,5.549064221,5.219052244,1.333333333
131023,-122.4718,45.98257,1.8125,5.890760402,NA,5.565330868,2.599104128,5.930220234,6.027978915,6.237737157,3.275,5.414406057,3.740611973,1.727272727,1.415977538,1.449738175,15.45648228,1.378294638,0.53526699,4.540146284,2.937315017,3.56316076,0.307876042,2.349343954,0.83608325,1.947109451,1.303030303,1.9,3.614624663,5.380109106,5.219052244,1.333333333
131024,-121.8254,45.98257,1.771428571,5.982347303,NA,5.568722758,2.626612587,5.944927365,6.015650498,6.244577814,3.139534884,5.523951787,3.706270017,1.702702703,1.392557546,1.423821596,14.94256682,1.371405861,0.517695529,4.504992701,2.946968364,3.56316076,0.26389375,2.365849987,0.648939857,1.958926884,1.297297297,1.88372093,3.537549142,5.395596994,5.219052244,1.333333333
131025,-121.1791,45.98257,1.815789474,6.169919993,NA,5.599739897,2.669903428,5.927369307,6.027132189,6.269757234,2.976744186,5.514638332,3.665855785,1.692307692,1.398526899,1.431518391,14.95521942,1.404395662,0.576753342,4.535745963,2.903381372,3.724558403,0.202940328,2.352680476,0.410423117,1.930298069,1.307692308,1.906976744,3.521290751,4.967002127,5.219052244,1
131026,-120.5327,45.98257,1.833333333,5.963045852,NA,5.492209203,2.813398937,5.87084076,5.690774308,5.806011681,2.975,5.458110214,3.612801419,1.771428571,1.439375951,1.476224636,14.83835158,1.438222179,0.576873378,4.511735105,2.550002721,3.564296892,0.16911694,2.345324324,0.347860465,1.918825494,1.314285714,1.925,3.480491383,4.540412562,4.976687129,1
131027,-119.8863,45.98257,1.757575758,6.006024225,NA,5.504268194,2.700948802,5.690411387,5.70325932,5.904803394,3.027777778,5.435240921,3.608155014,1.774193548,1.370498876,1.410633935,14.08493057,1.448020947,0.674618605,4.556185388,2.702750836,3.810769952,0.25367541,2.324196895,0.347860465,1.940126739,1.290322581,1.888888889,3.363013572,4.925844162,5.274024674,1
131028,-119.2399,45.98257,1.757575758,5.740094048,NA,5.410183697,2.76757683,5.70537467,5.651946281,5.815108914,3.157894737,5.435240921,3.578095122,1.727272727,1.370498876,1.410633935,14.28573228,1.466092944,0.648297891,4.555687869,2.628860946,3.810769952,0.25367541,2.327241061,0.347860465,1.940126739,1.303030303,1.921052632,3.378054357,4.909035087,5.274024674,1
131029,-118.5935,45.98257,1.764705882,5.692813519,NA,5.428463001,2.759362202,5.557363152,5.446313477,5.468322269,3.268292683,5.435240921,3.595794245,1.75,1.435133353,1.469667335,13.944345,1.432850378,0.614687473,4.494604452,2.621016393,3.465592357,0.25367541,2.30712512,0.6688666,1.96513214,1.3125,1.87804878,3.426388553,4.977933081,5.274024674,1.333333333
131030,-117.9471,45.98257,1.777777778,6.199809009,NA,5.6362023,2.873068222,5.777441964,5.930819024,6.106738002,2.977777778,5.561628322,3.763571992,1.638888889,1.534070088,1.559665204,15.63705435,1.342700391,0.578248862,4.661928917,3.178291617,3.759312014,0.331480237,2.356059554,0.6688666,1.918021586,1.277777778,1.888888889,3.625366569,5.346024691,5.274024674,1.75
131031,-117.3008,45.98257,1.72972973,6.453725127,NA,5.679438041,2.785628756,5.827778459,6.078599926,6.293264273,2.844444444,5.518095763,3.743812714,1.594594595,1.523387963,1.551502678,15.87522713,1.356564857,0.574234794,4.716172836,3.255162363,3.986523573,0.202940328,2.373226394,0.608060545,1.943693704,1.243243243,1.955555556,3.634216728,5.26209915,5.488903574,1.333333333
131032,-116.6544,45.98257,1.722222222,6.338769249,NA,5.649191255,2.731541316,5.76833564,6.010966074,6.121905953,2.954545455,5.509900803,3.683681381,1.6,1.528131013,1.534507128,14.93334571,1.366312535,0.577950806,4.704491716,3.173663048,3.97211721,0.16911694,2.36862858,0.6688666,1.934504606,1.285714286,1.954545455,3.544659547,5.09530353,5.219052244,1.333333333
131033,-116.008,45.98257,1.828571429,6.433502177,NA,5.720357643,2.795424506,6.018735725,6.183371456,6.326944776,2.844444444,5.48967396,3.764862545,1.542857143,1.513157835,1.521002151,16.4716884,1.368021878,0.553821119,4.777247771,3.48300082,4.024399414,0.202940328,2.381169375,0.743185111,1.935394067,1.257142857,1.977777778,3.61472413,5.159238067,5.191566029,1.333333333
131034,-115.3616,45.98257,1.794117647,6.77669208,NA,5.834844198,2.795424506,6.076557425,6.34852657,6.575015365,2.88372093,5.557325632,3.817471741,1.484848485,1.524317471,1.530585152,17.02507235,1.321796425,0.464987208,4.80152291,3.654142838,4.024399414,0.202940328,2.412910467,0.888589058,1.919799256,1.212121212,1.953488372,3.655624468,5.286455591,5.191566029,1.75
131035,-114.7152,45.98257,1.864864865,6.777650743,NA,5.833084823,2.768877183,6.050631354,6.429289749,6.662464021,2.872340426,5.557325632,3.839283749,1.486486486,1.534911773,1.538016944,16.68826359,1.29668578,0.456820752,4.808024365,3.737367478,4.024399414,0.331480237,2.417296527,0.807808234,1.874367697,1.216216216,1.893617021,3.672936281,5.445328529,5.191566029,2
131036,-114.0688,45.98257,1.861111111,6.600934027,NA,5.760183799,2.714460326,6.035594004,6.257593217,6.44044685,2.913043478,5.593771654,3.787362677,1.527777778,1.516876215,1.522224386,15.65648873,1.341936189,0.514691998,4.722258767,3.574829537,4.024399414,0.16911694,2.389961689,0.807808234,1.935376864,1.25,1.891304348,3.56823336,5.033856314,5.191566029,1.75
