GlobalID,X1_1_ActivityCycle,X5_1_AdultBodyMass_g,X8_1_AdultForearmLen_mm,X13_1_AdultHeadBodyLen_mm,X2_1_AgeatEyeOpening_d,X3_1_AgeatFirstBirth_d,X18_1_BasalMetRate_mLO2hr,X5_2_BasalMetRateMass_g,X6_1_DietBreadth,X7_1_DispersalAge_d,X9_1_GestationLen_d,X12_1_HabitatBreadth,X22_1_HomeRange_km2,X22_2_HomeRange_Indiv_km2,X14_1_InterbirthInterval_d,X15_1_LitterSize,X16_1_LittersPerYear,X17_1_MaxLongevity_m,X5_3_NeonateBodyMass_g,X13_2_NeonateHeadBodyLen_mm,X10_1_PopulationGrpSize,X23_1_SexualMaturityAge_d,X10_2_SocialGrpSize,X24_1_TeatNumber,X12_2_Terrestriality,X6_2_TrophicLevel,X25_1_WeaningAge_d,X5_4_WeaningBodyMass_g,X13_3_WeaningHeadBodyLen_mm,XHYP_JTE
103451,1.698263889,5.003181009,4.700889464,5.244549109,2.527069445,5.590713988,5.335348718,5.454417533,3.110770279,5.59760994,3.715000561,1.682721713,1.551871121,1.502388093,13.18044557,1.154147011,0.570061085,4.525215531,2.530752726,3.997987334,0.769978692,2.314456075,0.447874066,1.848417023,1.361875637,1.66692229,3.597399087,4.62673446,5.175742723,1.5875
103453,1.671219931,5.051612225,4.687850459,5.237041741,2.578798561,5.72918779,5.347702424,5.482953286,3.031620888,5.449116799,3.69349448,1.659836066,1.589584106,1.556860657,13.70970711,1.166757494,0.574880025,4.483455335,2.39887688,3.966843613,0.846206369,2.314372604,0.426385919,1.875298547,1.330512821,1.681502204,3.594632598,4.616132376,5.255774516,1.52189781
103454,1.704619289,5.102533427,4.635368465,5.28097568,2.511613709,5.771255568,5.443672469,5.620618872,3.043939394,5.592792089,3.750334443,1.663804714,1.5307908,1.514189819,13.6876551,1.158397262,0.557194495,4.55333331,2.672303057,4.061157673,0.846686014,2.328187646,0.511594706,1.86283709,1.346346801,1.678148148,3.64851638,4.812986137,5.315101774,1.581460674
103455,1.70927062,5.111665166,4.650267445,5.284795828,2.586860682,5.698296688,5.323480584,5.439959453,3.068973064,5.549316188,3.730702339,1.699933066,1.578688632,1.568687818,13.63018172,1.163340533,0.542401016,4.478789332,2.5143325,3.964605976,0.935750859,2.31721994,0.53469076,1.895756557,1.375920348,1.673518519,3.615241957,4.711864061,5.213520593,1.612195122
103456,1.701436782,5.057292799,4.627469837,5.261937111,2.553075047,5.640757812,5.337272595,5.482343461,3.065477387,5.465141113,3.72167758,1.670909091,1.523666916,1.524475249,13.3219098,1.167937119,0.56603876,4.492875403,2.588974967,4.005104289,0.893316741,2.317295062,0.459142061,1.877130596,1.348703704,1.635175879,3.609850682,4.588799781,5.300128756,1.680722892
103457,1.691692735,5.038120079,4.675360465,5.249578932,2.503585317,5.713060178,5.281039556,5.404274607,3.096075433,5.516660888,3.708764647,1.702514441,1.508250988,1.457503732,13.26855532,1.145125951,0.574691228,4.473437614,2.531888369,4.006636673,0.90970472,2.315605561,0.504985127,1.849170296,1.353741497,1.683826028,3.578736033,4.606297688,5.216241727,1.544585987
103458,1.70482866,5.013603477,4.687850459,5.237839352,2.555190849,5.620851745,5.283446142,5.421837922,3.053941909,5.573596423,3.698034579,1.679883282,1.62033319,1.560852752,13.53334263,1.170048789,0.583946104,4.498098575,2.551868372,3.964058931,0.841576391,2.312680925,0.48633465,1.86422419,1.352835052,1.677385892,3.610009331,4.53949371,5.229578176,1.653846154
103459,1.745415318,5.041660372,4.678021056,5.247137651,2.623030033,5.790557559,5.290396264,5.3774114,3.114440939,5.541863938,3.730336727,1.699025748,1.635084839,1.558566528,13.46510235,1.169363866,0.58233371,4.48134227,2.584159282,3.9268131,0.86668932,2.317997376,0.547149808,1.870399445,1.361372344,1.695934104,3.6743877,4.789851122,5.187053635,1.612
103460,1.765432099,5.078610946,4.679552911,5.273274752,2.553008884,5.840110662,5.362421082,5.491913857,3.105374078,5.617290309,3.727452797,1.670868347,1.623655911,1.550763689,14.09830188,1.16510573,0.520020641,4.541884383,2.559229786,4.004043971,0.862544675,2.320512297,0.511134518,1.879047558,1.342271293,1.689848964,3.65306164,4.7379736,5.223841472,1.608695652
103461,1.714459506,4.983285202,4.699467027,5.216794912,2.583168999,5.741520304,5.188934887,5.264433976,3.076652963,5.430100981,3.707369896,1.688763275,1.536285099,1.542619648,13.0199107,1.161224193,0.566557361,4.471365375,2.443051291,4.020607869,0.76686151,2.316533056,0.454042612,1.889412812,1.354059609,1.658530319,3.589266498,4.552344094,5.248311033,1.687943262
103462,1.683143547,5.09678602,4.71653627,5.258253694,2.584096599,5.697060381,5.337158602,5.478818559,3.094909772,5.495398101,3.72281973,1.680697279,1.552524856,1.540556375,13.5975689,1.157586327,0.578845643,4.473515983,2.559752432,4.056431489,0.829386993,2.31533926,0.432581541,1.853810414,1.338520408,1.680286006,3.608204137,4.807124505,5.222219273,1.649006623
103463,1.691518943,5.083720454,4.647690324,5.272354809,2.57432965,5.676740093,5.330323715,5.449499241,3.097908093,5.495450746,3.696503214,1.691598361,1.577914245,1.544691771,13.57588016,1.145847332,0.561540273,4.494334775,2.507640527,4.039121121,0.796372012,2.313634375,0.485723931,1.861410568,1.351775956,1.67292524,3.593919632,4.576618754,5.250263173,1.597222222
103464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103559,1.712373225,5.039505765,4.639724678,5.261656297,2.51587175,5.667577021,5.278610673,5.40882553,3.073003033,5.507572742,3.692071802,1.686643145,1.518881695,1.51047398,13.26797792,1.17918723,0.576265493,4.473223826,2.436949284,3.970740488,0.716060054,2.306867136,0.491942281,1.883248085,1.347647849,1.667896866,3.58831259,4.589646463,5.324827725,1.577235772
103560,1.724882629,5.036747485,4.603879268,5.249247496,2.564814061,5.667038995,5.361148734,5.506432551,3.044153226,5.483381317,3.70168079,1.688224456,1.508957182,1.49270492,13.50192231,1.161411738,0.558050814,4.512398373,2.505137957,3.981598209,0.783295194,2.321613192,0.452274157,1.854851685,1.354761905,1.679805108,3.57584534,4.689740866,5.326887533,1.601796407
103561,1.711431949,5.096505339,4.655904897,5.274836279,2.552625194,5.736299166,5.350906323,5.494950086,3.095803842,5.464520575,3.725221713,1.684100767,1.549783539,1.506453021,13.59355856,1.150993648,0.556881618,4.523790568,2.647254679,4.001241127,0.880348548,2.322015685,0.506497382,1.860712087,1.347364031,1.658240647,3.629894487,4.754237813,5.217089279,1.682051282
